pi_type_id, pi_name, pi_guid, pi_readonly, pi_text, pi_numeric, pi_storage_type, pi_group_name, pi_display_unit_type, pi_parameter_type
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b43	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b43	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b44	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b44	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b44	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b45	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b45	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b45	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b46	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b46	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b46	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b47	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b47	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b47	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b48	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b48	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b48	"Connection Status"		1	"0"	0	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b49	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b49	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b49	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b4a	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b4a	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703b4a	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703ba3	"Connection Status"		1	"2"	2	Integer	Structural	""	""
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703ba3	"Comments"		0	NULL		String	Identity Data	""	"Text"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703ba3	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
ParamRefUniqueID_4cf95d3a-7e23-47c6-9397-11b055d511c4-00703ba4	"Node Number"		0	"0"	0	Integer	Identity Data	""	"Integer"
